Road_Type,Road_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,Weather_Condition,Junction,Crossing,Railway_Crossing,Stop_Sign,Speed_Breaker,Severity
Rural,Dry,100.33043798515058,80,Car,22.32609426805996,64.82444036764343,444.5496619254136,Storm,No,1,0,0,1,High
Rural,Wet,65.96834409547749,80,Bike,32.49088812306844,71.66428125795386,300.208093955953,Storm,T-Junction,1,1,0,1,High
Rural,Dry,82.6801806461909,80,Bike,16.663738076649704,97.22092399274175,322.0449842355409,Rainy,Crossroad,1,0,1,0,High
Highway,Wet,94.44272887392147,100,Bike,12.325551245385656,39.900779888766216,242.2187865631361,Storm,T-Junction,0,0,1,1,High
Highway,Wet,105.19610767074246,100,Truck,30.852005430626964,48.79906093141206,657.6992809790835,Storm,T-Junction,0,0,1,0,High
Rural,Damaged,89.48134277908811,80,Truck,30.922290038343856,95.73721645313375,961.0398101185652,Rainy,T-Junction,1,1,1,0,High
Highway,Dry,80.54749063937828,100,Truck,34.37571515574104,84.69845887207508,890.3108862593261,Rainy,Crossroad,1,1,0,1,Low
Urban,Wet,71.2952116190362,60,Bike,16.053216244474736,78.35107317448667,770.3719994671549,Clear,No,1,1,1,0,High
Rural,Damaged,79.35903173097999,80,Bike,13.773861897849201,96.98800702741495,993.6996607472854,Foggy,Crossroad,1,0,1,0,High
Urban,Snow,37.50025243550488,60,Bus,39.249187476935035,47.125232887950645,871.6034384984187,Foggy,No,0,1,1,1,Medium
Rural,Wet,77.46615815698188,80,Bike,16.54487221811316,60.12426316982976,870.572679484347,Foggy,Crossroad,0,1,1,0,High
Rural,Dry,89.6418570855597,80,Truck,13.582173696457648,76.85424104881005,533.3216854219764,Foggy,T-Junction,1,1,1,0,High
Rural,Snow,76.46179162932621,80,Truck,31.280132109627722,21.452536809109564,635.656200754501,Storm,T-Junction,1,0,1,1,High
Urban,Damaged,20.0,60,Car,18.304450167243793,86.65706934186667,221.337995629737,Storm,No,1,0,1,0,Medium
Rural,Snow,85.15058986249498,80,Bike,23.113322233862093,89.97543928337366,349.6223327619766,Foggy,No,1,1,1,0,High
Rural,Wet,74.3403521904166,80,Car,11.535200398600585,66.67058980355361,123.95422774370822,Foggy,Crossroad,1,1,1,0,High
Highway,Wet,119.7395729045996,100,Bus,27.676803271106415,70.39446326771161,959.1846042082427,Foggy,Crossroad,1,1,1,0,High
Urban,Damaged,53.708250797388786,60,Truck,28.42679741218934,21.185021631353482,340.4702310184775,Clear,No,1,0,1,0,Medium
Highway,Wet,92.29227280723612,100,Truck,31.474609498654697,40.97902159862226,636.3163343521566,Foggy,No,1,0,0,0,Medium
Rural,Damaged,94.10275566981757,80,Bus,31.711069442823234,77.32490708865538,993.1136620147164,Clear,T-Junction,0,1,1,0,High
Highway,Snow,91.13738091621833,100,Bike,23.970583740754154,76.67080244868458,727.8886216488663,Storm,No,0,0,1,0,High
Urban,Wet,61.3019553518,60,Car,17.302486675296112,98.24675086238449,555.6252612357467,Storm,Crossroad,1,1,0,0,High
Highway,Wet,78.02079199716825,100,Truck,19.71477898471781,46.57331829663568,557.4114554870583,Rainy,No,1,1,1,1,Medium
Urban,Damaged,52.263970149531154,60,Truck,22.834586974793837,73.48051915009029,531.9981475393837,Clear,No,0,0,0,1,Low
Rural,Damaged,85.79271992776245,80,Bus,23.436134939499347,36.992627404439126,994.9026535824376,Storm,T-Junction,0,0,1,1,High
Highway,Damaged,109.61963837200857,100,Car,37.73939555076858,52.35374503156098,227.570006351565,Storm,T-Junction,1,0,0,0,High
Rural,Damaged,77.50679515703298,80,Truck,28.13359652127688,22.79827072201585,304.5548425060325,Clear,Crossroad,1,1,0,0,Medium
Highway,Damaged,95.60540448225451,100,Bike,21.462798947556045,99.6679236405799,61.58505474290392,Rainy,T-Junction,1,1,1,0,High
Highway,Dry,88.8640164319998,100,Bike,18.937486020464817,71.21857370888023,265.932670447845,Clear,No,1,0,1,0,Medium
Highway,Snow,95.52763158125698,100,Car,36.19604076116893,80.94099359976468,840.5092264691558,Rainy,Crossroad,1,0,0,1,Medium
Urban,Snow,22.181467606867812,60,Bike,17.9231526972898,54.4071919136697,358.8886742976542,Foggy,T-Junction,1,1,0,0,High
Urban,Damaged,46.09290934370831,60,Bike,13.57852942668746,27.859934424975464,467.0906642900884,Foggy,T-Junction,0,1,0,1,High
Rural,Damaged,82.57087636159089,80,Car,14.214118782195365,61.76080661680052,387.9646414105253,Rainy,No,1,1,0,1,Medium
Rural,Wet,82.27227609259513,80,Truck,14.949029582968432,38.637670028718894,786.5052708604665,Clear,Crossroad,0,0,1,0,Medium
Urban,Wet,59.52542916197988,60,Bus,30.81300912520382,32.75237228657562,778.0463877274532,Storm,Crossroad,1,0,1,1,High
Urban,Snow,57.03076064091105,60,Bus,19.9252572351608,96.76358411129038,103.40260063742372,Rainy,Crossroad,1,0,0,0,High
Highway,Dry,107.55372180135876,100,Truck,33.39639271961446,29.538882134515767,875.6646123138935,Storm,T-Junction,0,0,1,0,Medium
Rural,Wet,106.81306719456322,80,Bike,23.686360220682598,80.2250867931387,414.48793360312084,Rainy,No,0,1,1,1,High
Urban,Snow,49.82410106788177,60,Bike,34.59773153428955,50.76122699161647,623.4040734541719,Storm,No,1,1,0,1,High
Rural,Wet,75.49709886266623,80,Truck,26.20890857318597,89.66901882820052,898.933213557627,Clear,T-Junction,0,0,0,1,Medium
Urban,Dry,50.58889586445439,60,Bike,27.98958570982062,85.96841348649389,290.1109688869323,Rainy,Crossroad,0,0,0,1,Medium
Highway,Damaged,102.29897150229739,100,Bike,24.26752385480909,70.71274073782364,476.6679629356046,Rainy,Crossroad,0,0,0,1,High
Urban,Damaged,58.17318064320107,60,Car,23.188802444846935,76.04046509753087,70.02891297212979,Storm,No,1,0,1,1,High
Rural,Damaged,105.85425512027223,80,Car,34.08683658196543,71.3883180825907,889.8157721230398,Clear,T-Junction,0,1,1,0,High
Rural,Wet,62.98008846506001,80,Bus,25.29291189937988,80.9436851220135,56.96241851048099,Rainy,Crossroad,1,0,1,0,High
Highway,Snow,117.34707056869972,100,Bike,18.609540392123943,52.346227489511314,911.1073041089737,Rainy,No,0,1,0,1,High
Highway,Snow,103.82963595443589,100,Truck,23.408818251287606,61.793241295255456,828.1393385822969,Foggy,T-Junction,0,1,1,0,High
Highway,Damaged,100.6677612354435,100,Truck,12.948415351091295,79.40786648297393,630.5807183053264,Clear,Crossroad,1,0,0,0,High
Urban,Dry,54.87285561861506,60,Bike,15.402877757126898,75.84459338563389,775.2452412071927,Storm,No,0,1,0,0,Medium
Highway,Wet,104.0850962275916,100,Bike,36.04582236247373,47.825914727116,836.5058107858392,Clear,T-Junction,0,0,0,0,High
Rural,Dry,85.75654127984038,80,Car,16.147148468224497,64.79799292973941,445.68673292612795,Foggy,T-Junction,0,0,0,1,Medium
Rural,Dry,87.15932276877808,80,Bike,33.30659965203314,65.13731986103811,338.09503876833327,Foggy,T-Junction,0,1,0,0,High
Highway,Wet,121.16623066382685,100,Bike,18.974101648073635,33.79791459732007,278.1793126301003,Storm,No,1,1,1,0,High
Rural,Snow,92.43739628379396,80,Bike,14.101244318346438,46.055210047569474,817.4209645053713,Storm,Crossroad,0,0,1,0,High
Highway,Wet,103.00320871492137,100,Truck,34.36869577514318,65.85019932654453,338.2712294594558,Rainy,T-Junction,0,1,0,0,High
Urban,Dry,79.0140398269493,60,Car,15.601415719824256,52.552117357857,622.1517383133793,Storm,Crossroad,1,0,0,1,High
Urban,Snow,82.37956881313761,60,Bus,31.58865574643732,40.983886797248786,369.68646474605634,Foggy,No,0,0,1,0,High
Urban,Damaged,62.175300562758544,60,Bus,37.58812596121466,24.413040742157783,885.6094060122587,Foggy,No,1,0,0,1,High
Rural,Dry,78.94753917053507,80,Truck,10.061238405445275,20.761400278086874,832.9739168681049,Rainy,Crossroad,1,1,1,0,Low
Highway,Damaged,83.43559490625358,100,Bus,19.77578589176128,76.18670839501232,106.4192573037756,Rainy,Crossroad,1,0,1,1,High
Highway,Snow,105.89257418775391,100,Car,14.887773843436921,85.03920506182575,797.9826672734589,Storm,No,0,1,0,0,High
Rural,Damaged,66.64357157237231,80,Truck,38.151160593338595,76.70329559822645,863.162623632981,Rainy,No,0,1,1,1,Medium
Highway,Damaged,82.71661463657341,100,Bike,16.92331651489424,97.47649159527072,525.803576193011,Clear,No,0,0,0,0,Medium
Urban,Snow,81.7842897368885,60,Car,10.557822445739738,45.226248017767496,467.32441776210294,Storm,No,1,0,0,0,High
Urban,Damaged,61.944653729024004,60,Bus,24.026137635694635,36.89014611444747,971.8132715936107,Rainy,Crossroad,0,0,0,0,Medium
Highway,Damaged,83.55787423505286,100,Truck,15.212847317443032,68.48218310266188,536.4804593455669,Foggy,T-Junction,1,0,1,0,High
Highway,Dry,94.08597111595746,100,Car,18.482965624406795,28.141809250054735,459.2108160423356,Clear,No,0,1,0,1,Low
Urban,Snow,36.06507700684956,60,Bus,16.82682079524278,54.48505931070314,176.67225227515158,Rainy,Crossroad,1,0,1,1,High
Urban,Dry,45.81578138024228,60,Bike,20.127886261485248,42.483500402061225,258.15590574322584,Clear,T-Junction,0,1,1,1,Medium
Highway,Damaged,103.05332014156643,100,Truck,12.299657109147741,67.46330655186523,607.6320571199536,Foggy,No,0,0,0,1,High
Highway,Dry,81.54268947585251,100,Truck,37.9360300747623,44.6196946345792,578.7266252492725,Clear,T-Junction,0,1,1,1,Low
Rural,Wet,65.49648770033343,80,Truck,11.064844122152394,44.716520851496746,590.5147682393198,Storm,No,0,1,0,1,Medium
Urban,Snow,26.074608382118384,60,Car,13.312517094846054,64.39174063592814,824.0787051210968,Rainy,Crossroad,0,1,0,0,Medium
Highway,Snow,103.18436190638532,100,Car,27.784970618480312,56.445139071176385,178.962016579998,Clear,Crossroad,0,0,0,1,High
Highway,Wet,73.20780455261482,100,Truck,10.323239189660695,52.692838640988775,544.5594653058806,Storm,T-Junction,0,0,1,0,Medium
Urban,Snow,64.76540326524858,60,Car,34.87614024281689,97.33689223931098,254.48942545594448,Clear,T-Junction,1,1,0,1,High
Urban,Dry,37.728695597149965,60,Car,31.426201606606625,35.827925009197834,478.32229175307947,Clear,Crossroad,0,1,1,0,Low
Rural,Wet,76.4402431056728,80,Car,15.498885086400572,56.68199848576566,99.06616436593825,Foggy,Crossroad,0,0,0,1,High
Rural,Snow,89.40773057254944,80,Bus,36.65490262073145,68.8977831002909,316.8390462268166,Foggy,No,1,0,0,0,High
Highway,Damaged,112.94726540182549,100,Bus,37.83204927122829,56.138669187160176,844.0585772435202,Storm,No,1,1,1,1,High
Rural,Damaged,74.3352473757882,80,Bike,20.965539236592363,31.032775099566294,34.379304918742086,Foggy,T-Junction,0,0,0,0,High
Urban,Damaged,35.21541425674988,60,Truck,30.150087741744706,98.94642657705076,92.56514313607734,Rainy,No,0,1,1,0,Medium
Rural,Snow,64.16504859886142,80,Bike,33.33047715193446,61.044061433448256,584.8265525685432,Foggy,T-Junction,1,0,1,0,High
Urban,Dry,69.12173691324685,60,Truck,17.252869315262664,23.973765086000647,135.33451157074782,Storm,No,1,1,0,0,High
Urban,Damaged,38.88941832123089,60,Bus,15.217214900885505,99.58712699740958,587.4768766931793,Clear,No,1,1,0,0,Medium
Rural,Dry,74.48263177935648,80,Bus,26.738920223961653,61.60862201654,893.2160080938833,Storm,No,0,0,0,0,Low
Urban,Snow,49.98594643515331,60,Car,35.711482296660215,89.64956219799,535.6805550796357,Storm,Crossroad,0,1,1,0,High
Urban,Snow,49.14353150552804,60,Truck,38.25145333131542,50.43125789405952,622.8672011908554,Clear,T-Junction,0,1,1,0,Medium
Urban,Dry,73.05855329726498,60,Bike,28.957742801457684,99.69193183269451,415.0260996711402,Rainy,T-Junction,1,0,1,0,High
Urban,Dry,55.96569307486279,60,Truck,33.29461072830355,34.1862325254869,117.25746949586649,Clear,No,0,1,0,1,Medium
Rural,Damaged,57.08319245699255,80,Car,19.39827688863954,85.23103495596304,286.2762221525445,Clear,T-Junction,1,1,0,1,Medium
Highway,Dry,100.42555123718833,100,Truck,10.881637555183923,24.386019673864155,66.89320936933711,Clear,T-Junction,0,0,0,0,Medium
Rural,Wet,54.09548160324698,80,Bus,25.43882705629076,31.815175540951568,587.1200815422417,Storm,T-Junction,1,0,1,0,High
Highway,Wet,97.32914143440567,100,Bike,12.195166952303273,53.25514910081662,960.9404525068096,Rainy,T-Junction,0,0,1,0,Medium
Urban,Damaged,84.89969829657507,60,Truck,19.969811692999656,32.16626044823908,477.1795392900215,Storm,Crossroad,0,1,1,1,High
Urban,Wet,61.23076028797243,60,Truck,37.64764000725796,44.87709171872102,963.7762579587356,Foggy,No,0,1,1,1,High
Urban,Damaged,47.27207755698251,60,Bus,27.75590263885395,54.636233192937446,307.00766501888586,Rainy,Crossroad,1,0,1,0,Medium
Rural,Dry,93.39275788584555,80,Bike,34.4950438945811,22.419543488666065,711.7671162190487,Clear,T-Junction,0,0,0,0,Medium
Highway,Wet,109.04115300282045,100,Truck,23.469933147978935,72.07241334992628,744.5109608528923,Foggy,T-Junction,0,1,1,0,High
Urban,Dry,52.28881848086256,60,Bike,20.452519351504456,33.9465363332543,447.39446766859743,Rainy,T-Junction,0,0,0,1,Medium
Urban,Wet,48.67104229070118,60,Car,16.544596180345415,35.53077162802629,117.1005520345294,Clear,T-Junction,0,0,1,0,Medium
Urban,Dry,55.89602755135464,60,Car,27.20948121659957,53.56713071748993,991.5114181741092,Rainy,No,0,0,0,1,Low
Urban,Damaged,80.80378248183402,60,Bus,30.795664484252544,90.67484469461772,69.13268846907533,Storm,No,0,1,0,0,High
Highway,Snow,107.5021960610263,100,Bike,19.369604476232148,23.9841225194776,782.0733388533196,Rainy,No,1,1,1,0,High
Urban,Dry,57.89273151222263,60,Truck,26.72839339406742,32.847932924146875,892.7672871627163,Rainy,T-Junction,0,0,1,1,Low
Highway,Dry,81.28466363476977,100,Car,29.316169719417353,46.86262277933304,66.89120864293409,Storm,Crossroad,1,0,1,1,High
Rural,Wet,74.20195795862064,80,Bus,16.98217617331838,54.217801727457235,488.138764878862,Rainy,T-Junction,0,1,1,0,Medium
Rural,Dry,92.59878175835671,80,Car,11.525456678305334,79.2838808949358,213.0344857095252,Clear,Crossroad,0,0,0,1,Medium
Highway,Damaged,95.97057973444127,100,Bus,13.1249672048548,45.67614109341341,814.0184942941471,Rainy,T-Junction,1,0,1,0,Medium
Urban,Dry,54.70410314616396,60,Truck,28.418954928474054,34.70730134535485,631.1296024461542,Rainy,Crossroad,0,1,0,1,Low
Highway,Snow,109.01813504381371,100,Truck,11.144501302746479,74.37059506015869,199.8941075633894,Storm,Crossroad,0,0,0,0,High
Urban,Damaged,55.88069770906117,60,Bike,39.392497735917644,38.28915169494223,624.8778880786475,Clear,No,1,1,1,1,Medium
Urban,Snow,49.137632822090694,60,Bike,17.40231984046878,65.27622927736186,20.556324064432967,Clear,Crossroad,1,0,0,1,High
Highway,Dry,119.89114028823744,100,Car,32.88420624619867,40.43680119502518,543.3850124743224,Storm,T-Junction,1,1,0,0,High
Highway,Snow,97.65659467955906,100,Truck,18.23623915326199,23.645867339636062,46.526394920433276,Rainy,No,0,0,1,1,Medium
Rural,Damaged,90.21332119942863,80,Car,24.126971690621755,95.66095399818839,650.5873851860249,Clear,Crossroad,0,1,1,0,High
Urban,Damaged,76.9989328286687,60,Bike,21.434489366394565,31.403738195257294,16.98900817518471,Foggy,Crossroad,1,1,0,1,High
Rural,Dry,60.055104462591274,80,Car,38.541887125929094,50.075522974982846,876.9918098223598,Clear,No,1,0,0,0,Low
Highway,Dry,90.87049584466013,100,Truck,11.460845057596961,30.17156131300642,653.0072859151494,Rainy,T-Junction,0,0,0,1,Low
Highway,Snow,78.23753359153527,100,Car,30.32289723759498,29.74031647462344,610.65508278294,Foggy,No,0,1,1,1,Medium
Rural,Wet,68.8065557387713,80,Bike,26.461157666186548,22.18835169767326,450.5589980009937,Storm,T-Junction,1,1,0,1,High
Rural,Damaged,54.9826859031515,80,Bike,39.39613129671509,21.203904194908638,990.1457087898466,Foggy,T-Junction,0,0,0,1,High
Urban,Snow,60.89686131145971,60,Bus,11.70846245905349,65.21343907862074,642.9951328918182,Clear,T-Junction,0,0,1,0,Medium
Urban,Damaged,70.8651886429538,60,Bike,22.95035784794681,92.13098261990953,550.7817722593456,Clear,T-Junction,1,1,0,1,High
Urban,Dry,91.64760607775169,60,Truck,32.740224483148126,75.8267882771417,328.9040439717308,Foggy,No,1,1,1,1,High
Urban,Snow,54.742583690261135,60,Bus,38.84091855405685,99.53927179472443,298.7789753043946,Clear,No,0,1,0,1,Medium
Highway,Snow,130.4265007970905,100,Truck,22.917099904478906,87.54291810520272,73.84449378758337,Rainy,Crossroad,1,1,0,1,High
Rural,Dry,103.59091170965392,80,Truck,26.36294645525462,82.51306787633737,977.2401125493384,Storm,No,1,1,0,1,High
Highway,Damaged,90.0769779673675,100,Bus,28.81806967952328,77.05562972766981,31.762763960537313,Storm,Crossroad,0,1,0,1,High
Highway,Wet,94.54751428429203,100,Truck,33.30453718199131,72.67066564673985,943.8149571192533,Foggy,Crossroad,0,0,0,0,Medium
Highway,Wet,110.79867070983708,100,Bus,14.125300017225998,82.40249356209446,914.8164044212631,Clear,Crossroad,0,0,1,1,Medium
Urban,Dry,60.50898493973574,60,Bus,18.222058437724918,62.88931683410293,382.11582833181285,Clear,T-Junction,0,1,1,1,Medium
Urban,Wet,45.44191498186397,60,Truck,10.338418080269939,52.65256904465906,878.1586819660986,Clear,No,1,1,0,0,Medium
Urban,Damaged,57.983316818208884,60,Truck,33.77900334162807,87.19026461350252,100.57870251386514,Rainy,T-Junction,0,1,0,0,High
Rural,Damaged,66.62218377200901,80,Bus,27.13650967880874,39.997648424565725,344.7205656119216,Rainy,Crossroad,1,1,1,1,Medium
Urban,Damaged,54.93665142643319,60,Car,12.308532167312743,48.45619958068215,575.378998727101,Foggy,Crossroad,1,0,0,0,High
Rural,Dry,97.50458432894332,80,Car,33.33549281683434,32.52043596863386,377.15187557862373,Rainy,Crossroad,1,1,0,1,Medium
Highway,Wet,98.7402662974372,100,Truck,26.215087377106073,83.46920324118565,878.4478515395015,Rainy,No,1,1,0,1,Medium
Rural,Damaged,76.79306105442201,80,Bike,36.297739035350155,76.36428478595226,990.0310928278523,Foggy,T-Junction,0,0,0,0,High
Highway,Snow,104.80592032825626,100,Bike,28.124207887904863,75.55257437894355,981.4639487412077,Storm,T-Junction,0,1,1,1,High
Highway,Snow,111.05416158749529,100,Bus,11.309683636777198,82.43294183787256,898.2329488387429,Rainy,T-Junction,1,0,1,1,High
Rural,Dry,91.8230633751856,80,Car,18.544284433628764,47.62933458869496,713.7997721870903,Rainy,T-Junction,1,1,0,0,Medium
Urban,Wet,72.84457629672089,60,Bike,22.743363106094932,87.04653127943166,50.78456512599164,Foggy,Crossroad,0,0,0,0,High
Rural,Dry,75.9767160493158,80,Bike,20.897323302923716,66.1540651099676,981.2424009051787,Storm,T-Junction,0,1,0,1,High
Urban,Damaged,47.3560170686943,60,Bus,39.42995736787634,89.34683659866936,994.3300925292692,Storm,No,1,0,0,1,Medium
Urban,Damaged,83.10568181613287,60,Bus,26.46259364820143,36.014133645228284,279.0362452533764,Rainy,T-Junction,1,0,0,1,High
Rural,Snow,57.93000587151841,80,Bike,18.87474747063881,58.92489603290234,972.4056124012822,Rainy,T-Junction,1,0,0,0,High
Rural,Dry,75.77885598548599,80,Truck,20.779040493542325,90.35154195474402,462.6104813972614,Storm,Crossroad,0,1,0,0,Medium
Urban,Damaged,56.74854607498624,60,Truck,32.50435563822594,26.693824240824906,598.3319695774626,Rainy,No,0,1,1,0,Medium
Rural,Wet,61.95679364590867,80,Bus,36.9139294722783,85.39487174371826,808.0910682684025,Clear,T-Junction,1,0,0,1,Medium
Urban,Snow,70.13548584039061,60,Truck,39.912977434259155,53.8455281069503,473.3016339592163,Foggy,T-Junction,1,0,0,1,High
Rural,Damaged,73.72011054869863,80,Bus,22.089789446278814,52.20752879675074,325.49452789795384,Storm,Crossroad,0,1,0,0,High
Highway,Damaged,125.91911492324564,100,Truck,28.536132508029937,33.49310348929926,882.4946192945199,Clear,T-Junction,0,1,1,1,High
Rural,Wet,66.92752450297183,80,Bike,33.45517203107677,33.98086568913854,790.9884216299553,Clear,T-Junction,0,1,0,0,High
Highway,Dry,83.24160631221574,100,Car,28.876406302170345,42.90182147145657,40.35052272172903,Foggy,T-Junction,1,1,1,0,High
Urban,Dry,76.37229459030797,60,Truck,24.256622152573716,52.65650280737222,386.5763247026945,Rainy,Crossroad,1,1,1,0,Medium
Rural,Wet,88.75338161643708,80,Bus,28.78797130243694,97.95826203389558,756.3580508107884,Foggy,Crossroad,1,0,0,0,High
Highway,Wet,86.5238003636159,100,Bike,32.975552940164306,35.099656776103885,386.2033269320235,Rainy,Crossroad,0,1,0,1,High
Highway,Dry,103.09050494358827,100,Bus,35.70656970103508,23.518259502031647,384.56578229912196,Rainy,No,0,0,1,1,Low
Urban,Damaged,69.4482966908272,60,Car,34.191722458527295,21.990997773528598,512.7719287457426,Foggy,T-Junction,1,0,0,1,High
Highway,Dry,83.8100541962135,100,Car,36.53616744677855,62.07552628188557,742.7552665022303,Clear,T-Junction,0,1,1,1,Low
Urban,Snow,55.820717615940666,60,Truck,18.663437482869227,93.82059141488558,721.6355148484128,Clear,T-Junction,0,0,0,0,Medium
Rural,Wet,87.06507832806673,80,Bus,16.566894758521492,36.20916775608294,24.79533377282822,Foggy,No,1,0,0,0,High
Rural,Wet,71.50500757899032,80,Car,12.02579854826337,73.48367782698554,220.76072112431484,Foggy,T-Junction,0,0,0,1,Medium
Highway,Snow,76.73978747349918,100,Bike,20.09556157513849,56.20995258489833,348.6040163883313,Storm,T-Junction,1,1,1,1,High
Urban,Snow,45.43956109111528,60,Bus,36.190510428179465,51.59454294400575,992.169005457451,Rainy,No,1,1,0,1,Medium
Urban,Wet,72.82004207480014,60,Car,29.519000194089642,93.73878319351847,317.8957591207761,Rainy,T-Junction,1,0,1,0,High
Highway,Dry,111.43667507966852,100,Truck,29.12035671701135,36.03009462977701,220.3954882879587,Storm,T-Junction,0,1,0,1,High
Highway,Wet,85.97683528731778,100,Bus,24.912898006194816,46.55928302170782,970.9494721747952,Foggy,T-Junction,1,1,1,0,High
Highway,Snow,113.9041058097794,100,Car,23.491324954100563,96.58875840482396,387.9703101694221,Rainy,Crossroad,1,1,1,0,High
Rural,Damaged,70.62964797508958,80,Car,39.5649451270352,55.8658076439817,806.5461760025821,Storm,T-Junction,1,1,1,1,High
Highway,Dry,111.47999576863279,100,Truck,32.05403026617766,95.35027223343829,185.0795815599926,Rainy,T-Junction,1,0,1,1,High
Highway,Dry,87.23983892712002,100,Truck,31.88585997657463,92.00883679245399,320.1400905206984,Rainy,No,1,1,1,0,Low
Urban,Snow,57.5952837265585,60,Bus,38.20989295525194,95.25085267492004,700.2543648193656,Foggy,No,1,0,1,0,Medium
Highway,Damaged,111.47032013768498,100,Car,36.33644761237424,23.776293647476958,625.2324371078669,Storm,Crossroad,1,1,1,1,High
Highway,Dry,117.35014772141571,100,Car,36.241696626615244,45.00146938594763,848.7818401970364,Rainy,T-Junction,1,1,1,1,Medium
Highway,Dry,66.97307153968454,100,Car,38.466283030733635,53.394860530701116,695.1509500670649,Foggy,Crossroad,0,1,0,0,Medium
Highway,Damaged,95.88676303570215,100,Bike,15.345319366284489,90.29145995680595,501.81941162942127,Clear,T-Junction,0,1,0,1,High
Rural,Snow,87.70268828330973,80,Bus,36.50425238453121,97.67647484526424,837.949381260321,Rainy,No,0,0,1,0,Medium
Rural,Damaged,68.30088052251453,80,Bus,22.20275994346458,50.102009585798214,431.534769843101,Clear,Crossroad,1,1,1,0,Medium
Rural,Wet,58.15376265224501,80,Bike,16.478881181227507,87.32167041369354,176.21901326654364,Foggy,Crossroad,1,0,0,0,High
Highway,Dry,100.1679529986652,100,Car,23.209656103049237,54.22844346699628,662.3930181612378,Rainy,Crossroad,0,1,1,1,Medium
Urban,Wet,33.42664343479928,60,Car,37.542319922824795,99.49814095774796,390.01825470253135,Storm,T-Junction,0,1,1,0,High
Highway,Damaged,79.42159760802888,100,Bus,16.89753811617522,58.062379134159336,736.5421816471412,Rainy,No,1,0,0,1,Medium
Highway,Wet,100.36640282593517,100,Truck,28.063069179008743,89.32790352367006,124.46852681925897,Clear,No,1,0,1,0,High
Rural,Damaged,79.37321212697663,80,Car,31.018311551458687,66.99515755700142,609.000745588356,Rainy,Crossroad,1,1,1,0,Medium
Urban,Wet,77.39825593658554,60,Car,15.748976576772293,74.51149689740612,14.227863800254699,Clear,T-Junction,0,0,0,0,High
Highway,Wet,104.96288509658389,100,Bus,36.29547448263028,89.92160772002022,135.9729152207176,Clear,No,0,0,0,1,High
Rural,Snow,82.14380062832461,80,Car,29.44402910443769,60.77115645630542,758.6399875036999,Rainy,Crossroad,0,1,0,0,High
Urban,Snow,90.68472799104822,60,Truck,26.850181800667944,72.90848861283848,12.555076919566988,Rainy,Crossroad,1,0,1,0,High
Highway,Snow,92.47230745364146,100,Truck,19.764062090164614,64.26889117659763,249.5256939061294,Clear,No,1,0,1,1,Medium
Rural,Dry,86.26588294352823,80,Truck,21.375894621192042,85.5201585370551,148.42448103253884,Rainy,No,1,1,0,1,Medium
Highway,Damaged,97.04611521484648,100,Car,37.332713937021104,65.26199252594563,500.08381484592894,Rainy,T-Junction,0,1,1,1,Medium
Rural,Wet,65.34962421367578,80,Car,37.67602054050166,20.84929790543778,50.795939281707625,Foggy,Crossroad,1,1,1,1,High
Urban,Damaged,92.92333099760515,60,Car,35.116409856715556,22.614853873057072,332.8418569623444,Clear,Crossroad,0,1,0,0,High
Rural,Wet,73.34993548431213,80,Bus,37.38146161609889,46.27649092402265,405.52210789707897,Foggy,No,0,0,1,1,Medium
Urban,Dry,65.22835977493122,60,Bike,22.315285109916907,95.34141736249384,345.9174796273792,Foggy,No,0,1,1,0,High
Urban,Damaged,44.86662105895045,60,Truck,33.47121918172728,89.50615847034044,291.9881738118714,Clear,No,1,1,0,1,Medium
Rural,Wet,103.13017086136455,80,Bus,25.159705814629923,49.321467060542766,205.8413574846538,Storm,Crossroad,0,1,0,1,High
Urban,Damaged,64.9464200753982,60,Bike,34.28651700290492,29.068875824442646,246.49362543919474,Storm,T-Junction,0,1,1,1,High
Rural,Wet,76.958386004289,80,Bus,28.56423362787126,69.73062031891615,293.1778685744016,Foggy,No,0,1,0,0,Medium
Highway,Wet,108.9960546117996,100,Truck,22.27530373255583,97.27261161823162,318.1336117771786,Foggy,No,1,1,0,1,High
Rural,Snow,79.36391764487955,80,Bus,15.228035303707355,64.316804812767,365.7317764976173,Foggy,Crossroad,1,0,1,0,High
Highway,Snow,103.33248037504494,100,Bus,17.075944990016023,63.37360031254971,266.7611468437936,Clear,No,1,0,0,0,Medium
Highway,Damaged,101.13416981105391,100,Truck,16.054045723840055,24.67305970298007,794.6528892591178,Storm,Crossroad,0,1,1,0,High
Urban,Snow,56.99711061623513,60,Car,26.6458335975137,96.8172057366699,105.79917071481727,Storm,Crossroad,0,1,1,0,High
Rural,Snow,89.64333938837758,80,Bike,18.10527545444857,64.76382920522242,869.2841552510855,Clear,No,1,1,0,0,High
Urban,Dry,42.44563286756515,60,Car,29.00622350030043,34.48511549354498,908.1614308723016,Clear,T-Junction,0,1,1,0,Low
Urban,Damaged,76.15356069022104,60,Bike,12.562895637981125,79.62712449162021,845.2673299151355,Foggy,No,1,0,0,0,High
Urban,Snow,36.444465623713086,60,Truck,27.64843320511794,51.583909911439406,27.091776916034014,Rainy,No,1,1,0,0,Medium
